연번,규제시행국,수입국 국제통일상품분류체계(HS_코드1),수입국 국제통일상품분류체계(HS_코드2),수입국 국제통일상품분류체계(HS_코드3),수입국 국제통일상품분류체계(HS_코드4),수입국 국제통일상품분류체계(HS_코드5),수입국 국제통일상품분류체계(HS_코드6),수입국 국제통일상품분류체계(HS_코드7),수입국 국제통일상품분류체계(HS_코드8),수입국 국제통일상품분류체계(HS_코드9),수입국 국제통일상품분류체계(HS_코드10),수입국 국제통일상품분류체계(HS_코드11),수입국 국제통일상품분류체계(HS_코드12),수입국 국제통일상품분류체계(HS_코드13),수입국 국제통일상품분류체계(HS_코드14),수입국 국제통일상품분류체계(HS_코드15),수입국 국제통일상품분류체계(HS_코드16),수입국 국제통일상품분류체계(HS_코드17),수입국 국제통일상품분류체계(HS_코드18),수입국 국제통일상품분류체계(HS_코드19),수입국 국제통일상품분류체계(HS_코드20),수입국 국제통일상품분류체계(HS_코드21),수입국 국제통일상품분류체계(HS_코드22),수입국 국제통일상품분류체계(HS_코드23),수입국 국제통일상품분류체계(HS_코드24),수입국 국제통일상품분류체계(HS_코드25),수입국 국제통일상품분류체계(HS_코드26),수입국 국제통일상품분류체계(HS_코드27),수입국 국제통일상품분류체계(HS_코드28),수입국 국제통일상품분류체계(HS_코드29),수입국 국제통일상품분류체계(HS_코드30),수입국 국제통일상품분류체계(HS_코드31),수입국 국제통일상품분류체계(HS_코드32),수입국 국제통일상품분류체계(HS_코드33),수입국 국제통일상품분류체계(HS_코드34),수입국 국제통일상품분류체계(HS_코드35),수입국 국제통일상품분류체계(HS_코드36),수입국 국제통일상품분류체계(HS_코드37),수입국 국제통일상품분류체계(HS_코드38),수입국 국제통일상품분류체계(HS_코드39),수입국 국제통일상품분류체계(HS_코드40),수입국 국제통일상품분류체계(HS_코드41),수입국 국제통일상품분류체계(HS_코드42),수입국 국제통일상품분류체계(HS_코드43),수입국 국제통일상품분류체계(HS_코드44),수입국 국제통일상품분류체계(HS_코드45),수입국 국제통일상품분류체계(HS_코드46),수입국 국제통일상품분류체계(HS_코드47),수입국 국제통일상품분류체계(HS_코드48),수입국 국제통일상품분류체계(HS_코드49),수입국 국제통일상품분류체계(HS_코드50),수입국 국제통일상품분류체계(HS_코드51),수입국 국제통일상품분류체계(HS_코드52),수입국 국제통일상품분류체계(HS_코드53),수입국 국제통일상품분류체계(HS_코드54),수입국 국제통일상품분류체계(HS_코드55),수입국 국제통일상품분류체계(HS_코드56),수입국 국제통일상품분류체계(HS_코드57),수입국 국제통일상품분류체계(HS_코드58),수입국 국제통일상품분류체계(HS_코드59),수입국 국제통일상품분류체계(HS_코드60),수입국 국제통일상품분류체계(HS_코드61),수입국 국제통일상품분류체계(HS_코드62),수입국 국제통일상품분류체계(HS_코드63),수입국 국제통일상품분류체계(HS_코드64),수입국 국제통일상품분류체계(HS_코드65),수입국 국제통일상품분류체계(HS_코드66),수입국 국제통일상품분류체계(HS_코드67),수입국 국제통일상품분류체계(HS_코드68),수입국 국제통일상품분류체계(HS_코드69),수입국 국제통일상품분류체계(HS_코드70),수입국 국제통일상품분류체계(HS_코드71),수입국 국제통일상품분류체계(HS_코드72),수입국 국제통일상품분류체계(HS_코드73),수입국 국제통일상품분류체계(HS_코드74),수입국 국제통일상품분류체계(HS_코드75),수입국 국제통일상품분류체계(HS_코드76),수입국 국제통일상품분류체계(HS_코드77),수입국 국제통일상품분류체계(HS_코드78),수입국 국제통일상품분류체계(HS_코드79),수입국 국제통일상품분류체계(HS_코드80),수입국 국제통일상품분류체계(HS_코드81),수입국 국제통일상품분류체계(HS_코드82),수입국 국제통일상품분류체계(HS_코드83),수입국 국제통일상품분류체계(HS_코드84),수입국 국제통일상품분류체계(HS_코드85),수입국 국제통일상품분류체계(HS_코드86),수입국 국제통일상품분류체계(HS_코드87),수입국 국제통일상품분류체계(HS_코드88),수입국 국제통일상품분류체계(HS_코드89),수입국 국제통일상품분류체계(HS_코드90),수입국 국제통일상품분류체계(HS_코드91),수입국 국제통일상품분류체계(HS_코드92),수입국 국제통일상품분류체계(HS_코드93),수입국 국제통일상품분류체계(HS_코드94),수입국 국제통일상품분류체계(HS_코드95),수입국 국제통일상품분류체계(HS_코드96),수입국 국제통일상품분류체계(HS_코드97),수입국 국제통일상품분류체계(HS_코드98),수입국 국제통일상품분류체계(HS_코드99),수입국 국제통일상품분류체계(HS_코드100),수입국 국제통일상품분류체계(HS_코드101),수입국 국제통일상품분류체계(HS_코드102),수입국 국제통일상품분류체계(HS_코드103),수입국 국제통일상품분류체계(HS_코드104),수입국 국제통일상품분류체계(HS_코드105),수입국 국제통일상품분류체계(HS_코드106),수입국 국제통일상품분류체계(HS_코드107),수입국 국제통일상품분류체계(HS_코드108),수입국 국제통일상품분류체계(HS_코드109),수입국 국제통일상품분류체계(HS_코드110),수입국 국제통일상품분류체계(HS_코드111),수입국 국제통일상품분류체계(HS_코드112),수입국 국제통일상품분류체계(HS_코드113),수입국 국제통일상품분류체계(HS_코드114),수입국 국제통일상품분류체계(HS_코드115),수입국 국제통일상품분류체계(HS_코드116),수입국 국제통일상품분류체계(HS_코드117),수입국 국제통일상품분류체계(HS_코드118),수입국 국제통일상품분류체계(HS_코드119),수입국 국제통일상품분류체계(HS_코드120),수입국 국제통일상품분류체계(HS_코드121),수입국 국제통일상품분류체계(HS_코드122),수입국 국제통일상품분류체계(HS_코드123),수입국 국제통일상품분류체계(HS_코드124),수입국 국제통일상품분류체계(HS_코드125),수입국 국제통일상품분류체계(HS_코드126),수입국 국제통일상품분류체계(HS_코드127),수입국 국제통일상품분류체계(HS_코드128),품목명,규제형태(진행상황),규제대상국 ,최종 판정결과(부과기간),최종 판정결과(관세율),한국대상여부
41 ,AM,7216210000 ,7216401000 ,7216501000 ,7216509900 ,7228701000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"저합금 및 합금 형강 (​Hot-rolled equal-flange steel angles with a flange width from 20 to 200 mm inclusive made of carbon, low-alloy and alloy (except corrosion-resistant) steel)",반덤핑(규제중),우크라이나,ㅇ 부과기간 : 2017-06-11 ~ 2028-03-06,ㅇ 판정결과 : 37.89%,N
42 ,AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"용광로 탄소 전극 (Electrodes used in furnaces, graphitized, of circular cross-section with a diameter greater than 520 mm but not greater than 650 mm, or of other cross-section with an area greater than 2,700 cm2 but not greater than 3,300 cm2)",반덤핑(조사중),중국,ㅇ 조사개시일 : 2025-02-28,,N
43 ,AR,85164000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  전기 다리미(Electric iron),반덤핑(규제중),중국,ㅇ 부과기간 : 2015-10-30 ~ 2026-08-19,ㅇ 판정결과 : US$13.22(전기 건식 다리미) ~US$15.41(전기 스팀 다리미) / unit,N
44 ,AR,82029100 ,82029990 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,텅스텐카바이드(초경) 톱날(Tungsten Carbide & Bimetal Saw Blade),반덤핑(규제중),스웨덴,ㅇ 부과기간 : 2008-02-14 ~ 2028-03-03,ㅇ 판정결과 : US$0.28 / unit,N
45 ,AR,82029100 ,82029990 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,텅스텐카바이드(초경) 톱날(Tungsten Carbide & Bimetal Saw Blade),반덤핑(규제중),중국,ㅇ 부과기간 : 2011-09-08 ~ 2028-03-23,ㅇ 판정결과 : US$0.46 / unit,N
46 ,AR,82029100 ,82029990 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,텅스텐카바이드(초경) 톱날(Tungsten Carbide & Bimetal Saw Blade),반덤핑(규제중),인도,ㅇ 부과기간 : 2012-10-05 ~ 2028-12-06,ㅇ 판정결과 : US$0.13 / unit* 일몰재심후 규제 연장(2023.12.7~),N
47 ,AR,95030099 ,95059000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,풍선(Balloon),반덤핑(규제중),중국,ㅇ 부과기간 : 2017-11-24 ~ 2028-07-06,ㅇ 판정결과 : 97% * 재심 종료 후 5년 연장 결정(2023.7.6),N
48 ,AR,82075011 ,82075019 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,나선형 드릴 비트(Twist Drill Bit),반덤핑(규제중),중국,ㅇ 부과기간 : 2000-08-17 ~ 2026-07-23,ㅇ 판정결과 : US$39.66 ~ US$563.63 / Kg,N
49 ,AR,85014019 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,단상 모터(Single-phase Motor),반덤핑(규제중),중국,ㅇ 부과기간 : 2012-09-04 ~ 2026-12-04,ㅇ 판정결과 : FOB 기준 최소 수출가격(개당)(제품유형별)US$39.92 ~ US$181.64  * 일몰재심 후 규제 연장 결정(~2026.12.4),N
50 ,AR,52084300 ,52104910 ,52094210 ,52094290 ,52114210 ,52114290 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,데님(Denim),반덤핑(규제중),중국,ㅇ 부과기간 : 2010-09-09 ~ 2027-04-27,ㅇ 판정결과 : US$3.93 / LM,N
51 ,AR,87089100 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,라디에이터(Radiators),반덤핑(규제중),중국,ㅇ 부과기간 : 2016-12-07 ~ 2027-07-29,ㅇ 판정결과 : 187.47%,N
52 ,AR,84821010 ,84829990 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,볼 베어링(방사형)(Ball Bearing (Radial)),반덤핑(규제중),중국,ㅇ 부과기간 : 2002-12-04 ~ 2027-05-30,ㅇ 판정결과 : US$6.45 ~ US$15.62 / Kg,N
53 ,AR,38247810 ,38247890 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,믹스(Mixtures containing tetrafluoroethane and pentafluoroethane and mixtures containing difluoromethane and pentafluoroethane),반덤핑(규제중),중국,ㅇ 부과기간 : 2020-08-19 ~ 2025-08-19,"ㅇ 판정결과 . 7%(tetrafluoroethane, pentafluoroethane 포함) . 23%(difluoromethane, pentafluoroethane 포함)",N
54 ,AR,96170010 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,보온병 (Vacuum flasks and other vacuum vessels with stainless steel inners of a capacity not exceeding 2.5 litres),반덤핑(규제중),중국,ㅇ 부과기간 : 2001-10-30 ~ 2024-04-15,ㅇ 판정결과 . US$4.82/kg (유리 보온병) . US$15/Kg (stainless steel 보온병)* 일몰재심 중(2024.4.12~),N
55 ,AR,84031010 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,보일러(Central heating boilers),반덤핑(규제중),이탈리아,ㅇ 부과기간 : 2020-03-25 ~ 2025-03-25,ㅇ 판정결과 : 이탈리아 : 57% * 일몰재심중(2024.3.24~) 관세 미부과,N
56 ,AR,85094050 ,85094020 ,85094010 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,블랜더 및 프로세서(Blenders and processors for manual use),반덤핑(규제중),중국,ㅇ 부과기간 : 2018-06-04 ~ 2026-12-04,ㅇ 판정결과 . 블렌더(licuadoras) : US$ 26.08/unit . 핸드믹서(batidoras) : US$ 21.07/unit . 프로세서(procesadoras) : US$ 23.60/unit * 일몰재심 후 규제 연장 결정(~2026.12.4),N
57 ,AR,30049099 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,비경구 용액(Parenteral solutions),반덤핑(규제중),"브라질, 멕시코",ㅇ 부과기간 : 2010-12-02 ~ 2028-11-22,ㅇ 판정결과   ·  브라질 : US$0.21 ~ US$0.31 / unit  ·  멕시코 : US$0.11 ~ US$0.16 / unit,N
58 ,AR,38089291 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,살균제(Cop/-based fungicides),반덤핑(규제중),"미국, 칠레",ㅇ 부과기간 : 2014-10-17 ~ 2026-04-16,ㅇ 판정결과   ·  미국 : 40.55%  ·  칠레 : 61.04%  * 규제기간 변경(~2026.4.16),N
59 ,AR,84145110 ,84145190 ,84145990 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,선풍기(Fans),반덤핑(규제중),중국,ㅇ 부과기간 : 2011-06-01 ~ 2028-07-13,ㅇ 판정결과 : 164% * 재심 종료 후 5년 연장 결정,N
60 ,AR,70161000 ,70169000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,세라믹 가드(CERAMIC GUARDS),반덤핑(규제중),중국,ㅇ 부과기간 : 2020-12-31 ~ 2025-12-31,ㅇ 판정결과 : U$S 11.42/m2,N
61 ,AR,85011029 ,85011030 ,85012000 ,85014019 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,세탁기 모터(Washing machine motors),반덤핑(규제중),중국,ㅇ 부과기간 : 2020-10-23 ~ 2025-10-23,"ㅇ 판정결과   ·  중국 : 46%(AC모터), 30%(범용모터)",N
62 ,AR,84148032 ,84143099 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,스크루 압축기(Screw compressor),반덤핑(규제중),브라질,ㅇ 부과기간 : 2011-03-07 ~ 2027-10-22,ㅇ 판정결과  ·  브라질    - MAYEKAWA DO BRASIL: 33%    - 기타 브라질 수출업자: 51%,N
63 ,AR,82111000 ,82119100 ,82152000 ,82159910 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,플라스틱 및 나무 손잡이 스테인리스 식기류 (Stainless Steel Cutlery with Plastic and Wooden Handle),반덤핑(규제중),중국,ㅇ 부과기간 : 2018-04-26 ~ 2026-06-04,ㅇ 판정결과 : 48%* 일몰재심후 규제 연장(~2026.6.4.까지)(브라질은 제외),N
64 ,AR,64011000 ,64019200 ,64019910 ,64019990 ,64021900 ,64022000 ,64029110 ,64029190 ,64029990 ,64031900 ,64032000 ,64034000 ,64035110 ,64035190 ,64035910 ,64035990 ,64039110 ,64039190 ,64039910 ,64039990 ,64041100 ,64041900 ,64042000 ,64051010 ,64051020 ,64051090 ,64052000 ,64059000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,신발(Footwear),반덤핑(규제중),중국,ㅇ 부과기간 : 2020-10-14 ~ 2026-12-14,"ㅇ 판정결과 : US$15,70 / pair",N
65 ,AR,90031100 ,90031910 ,90031990 ,90049010 ,90041000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,안경테(Spectacles and frames),반덤핑(규제중),중국,ㅇ 부과기간 : 2021-11-24 ~ 2026-11-24,"ㅇ 판정결과 : 7.10 ~ 9.31 / unit, 154% * 일몰재심후 조치 5년 연장 결정",N
66 ,AR,76151000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,알루미늄 라디에이터(Electric ironing presses),반덤핑(규제중),"중국, 이탈리아",ㅇ 부과기간 : 2019-11-22 ~ 2024-11-22,"ㅇ 판정결과   ·  중국 : 87%  ·  이탈리아 : US$6.35 / unit, 75% * 일몰재심중(2024.11.5~) ",N
67 ,AR,76069100 ,76069200 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,알루미늄 시트(Aluminium sheets),반덤핑(규제중),중국,ㅇ 부과기간 : 2020-02-27 ~ 2025-02-26,ㅇ 판정결과 : 80.14% * 일몰재심 중(2025.2.21~),N
68 ,AR,76081000 ,76082090 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,알루미늄 튜브(Aluminium tubes),반덤핑(규제중),"브라질, 중국",ㅇ 부과기간 : 2020-11-20 ~ 2025-11-06,"ㅇ 판정결과   ·  중국 : 75,52%  ·  브라질 : 16,46%",N
69 ,AR,76071190 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,알루미늄 호일(Alumium Foil),반덤핑(규제중),중국,ㅇ 부과기간 : 2020-03-09 ~ 2025-03-08,ㅇ 판정결과 : 28% * 일몰재심중(2025.2.21~),N
70 ,AR,84151019 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,에어컨 장치(Air conditioning equipment),반덤핑(규제중),태국,ㅇ 부과기간 : 2021-09-07 ~ 2026-09-07,ㅇ 판정결과 : 85% * 일몰재심후 조치 5년 연장 결정,N
71 ,AR,84151011 ,84151019 ,84159020 ,84159010 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,에어컨 장치(Air conditioning equipment),반덤핑(규제중),중국,ㅇ 부과기간 : 2003-02-04 ~ 2027-07-06,ㅇ 판정결과 : US$110.49 ~ US$332.42 / unit,N
72 ,AR,85153190 ,85153900 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,용접기계 (Machines and apparatus for arc welding of metals),반덤핑(규제중),중국,ㅇ 부과기간 : 2020-10-23 ~ 2025-10-23,ㅇ 판정결과 : 0 or 94.39%* 중국 업체의 가격약속 위반으로 기존 반덤핑관세(최대 94.39%) 적용(2024.11.1~),N
73 ,AR,84133090 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,워터펌프(Water pumps),반덤핑(규제중),중국,ㅇ 부과기간 : 2015-04-17 ~ 2026-09-07,ㅇ 판정결과 : 246%,N
74 ,AR,69101000 ,69109000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,위생도기(sanitary ware),반덤핑(규제중),브라질,ㅇ 부과기간 : 2005-12-12 ~ 2027-04-21,ㅇ 판정결과 : 50.98 ~ 147.40%,N
75 ,AR,70161000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,유리삽입(Glass Insert),반덤핑(규제중),"태국, 튀르키예",ㅇ 부과기간 : 2021-12-20 ~ 2026-12-20,ㅇ 판정결과  ·  태국 : US$14.57  ·  튀르키예 : US$12.48,N
76 ,AR,85094050 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,음식 가공처리기(Food processors),반덤핑(규제중),"중국, 브라질",ㅇ 부과기간 : 2022-02-25 ~ 2027-02-25,ㅇ 판정결과   ·  중국 : 202.79%  ·  브라질 : 24%,N
77 ,AR,87120010 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,자전거(Bicycles),반덤핑(규제중),"중국, 대만",ㅇ 부과기간 : 1995-11-23 ~ 2026-05-10,ㅇ 판정결과   ·  중국 : Min FOB export value  ·  대만 : Min FOB export value,N
78 ,AR,401150 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,자전거 바퀴(bicycles tire),반덤핑(규제중),"중국, 인도네시아, 태국",ㅇ 부과기간 : 2017-09-15 ~ 2026-05-31,ㅇ 판정결과 (최소 FOB 가격 이상)  · 중국 : US$7.03 / Kg   · 태국 : US$6.07 / Kg   · 인도네시아 : US$6.45 / Kg,N
79 ,AR,95030010 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"자전거(Tricycles, without an electric motor)",반덤핑(규제중),중국,ㅇ 부과기간 : 2021-01-28 ~ 2026-01-28,ㅇ 판정결과 : 30.21%,N
80 ,AR,611610 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"장갑(Gloves, made up of 100% knitted textiles material)",반덤핑(규제중),"방글라데시, 스리랑카, 중국, 인도, 말레이시아",ㅇ 부과기간 : 2021-02-04 ~ 2026-02-04,"ㅇ 판정결과   ·  중국, 방글라데시, 스리랑카, 말레이시아 : 42%  ·  인도 : 35.06%",N
81 ,AR,84513099 ,84513091 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,전기 다림질 프레스(Electric ironing presses),반덤핑(규제중),중국,ㅇ 부과기간 : 2021-08-19 ~ 2026-08-19,ㅇ 판정결과   ·  중국 : US$505.21 / unit,N
82 ,AR,84137080 ,84137090 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,전기 펌프(Electric Pumps),반덤핑(규제중),중국,ㅇ 부과기간 : 2015-04-17 ~ 2026-04-16,ㅇ 판정결과 : US$90.70 ~ US$278.30 / unit,N
